"Temperature","Melt","Derivative"
69,0.993608368483636,0.00417543089536751
69.1,0.9931570766567,0.00518789301732364
69.2,0.992570789880171,0.00672291155362106
69.3,0.991812494345976,0.00864975479494462
69.4,0.990840838921182,0.0110519896264927
69.5,0.989602096420678,0.0139517938946251
69.6,0.988050480142257,0.0172917076393398
69.7,0.98614375489281,0.020961475460573
69.8,0.983858185050142,0.0247075270012653
69.9,0.981202249492556,0.0282033708598365
70,0.978217510878175,0.0310927171264026
70.1,0.974983706067276,0.0330758103963602
70.2,0.971602348798903,0.0340743987830739
70.3,0.968168826310661,0.0342530997113384
70.4,0.964751728856635,0.0339996438652896
70.5,0.961368897537603,0.033790373543899
70.6,0.957993654147856,0.0340716050527357
70.7,0.954554576527056,0.0351112214433898
70.8,0.950971409859178,0.0368609603869595
70.9,0.947182384449664,0.0389719813719493
71,0.943177013584788,0.0408216600858292
71.1,0.939018052432499,0.0416857730498904
71.2,0.93483985897481,0.0410017074344297
71.3,0.930817710945613,0.0385948524220072
71.4,0.927120888490408,0.0347335029906529
71.5,0.923871010347482,0.0299746344977986
71.6,0.921125961590849,0.0249575377061206
71.7,0.918879502806258,0.0202080751631972
71.8,0.917084346558209,0.0160570591322163
71.9,0.915668090979814,0.012631850955351
72,0.914557976367139,0.00992199876726331
72.1,0.913683691226362,0.00784118567335736
72.2,0.912989739232467,0.00627565077843265
72.3,0.912428561070675,0.00512163617521322
72.4,0.911965411997425,0.00428282936803681
72.5,0.911571995197068,0.00368421130420092
72.6,0.911228569736585,0.00326027969126894
72.7,0.910919939258814,0.00299592846047186
72.8,0.91062938404449,0.00293862058435175
72.9,0.910332215141944,0.00312595637788069
73,0.910004192768914,0.00391459545507256
73.1,0.909549296050929,0.0063265366571421
73.2,0.908738885437486,0.0129291162814976
73.3,0.90696347279463,0.0308538282917075
73.4,0.902568119779144,0.0761113369722062
73.5,0.891741205400189,0.168657449913412
73.6,0.868836629796463,0.286501891630337
73.7,0.834440827074119,0.331780943017743
73.8,0.802480441192913,0.259831012089813
73.9,0.782474624656158,0.156469286816764
74,0.771186583829559,0.0948227780542536
74.1,0.763510069045308,0.0724947329624849
74.2,0.756687637237062,0.0762354564031981
74.3,0.748262977764669,0.358880109312185
74.4,0.684911615374616,2.08843299740791
74.5,0.330576378283122,2.06318071925438
74.6,0.272275471523763,0.306184352509677
74.7,0.269339507781193,0.0208533615144967
74.8,0.268104799220864,0.0107258675407138
74.9,0.267194334273051,0.00799948157275716
75,0.266504902906312,0.00634172971470187
